split,class,original_path,filename
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002206_t-eczema-nummular-115.jpg,aug_002206_t-eczema-nummular-115.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001319_t-eczema-trunk-generalized-9.jpg,aug_001319_t-eczema-trunk-generalized-9.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-eczema-fingertips-75.jpg,t-eczema-fingertips-75.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_003080_t-neurotic-excoriations-50.jpg,aug_003080_t-neurotic-excoriations-50.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000871_t-eczema-anal-3.jpg,aug_000871_t-eczema-anal-3.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000244_t-chapped-fissured-feet-14.jpg,aug_000244_t-chapped-fissured-feet-14.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\0_22.jpg,0_22.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000951_t-eczema-impetiginized-10.jpg,aug_000951_t-eczema-impetiginized-10.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002344_t-stasis-dermatitis-173.jpg,aug_002344_t-stasis-dermatitis-173.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002645_v-eczema-foot-91.jpg,aug_002645_v-eczema-foot-91.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-keratolysis-exfoliativa-31.jpg,t-keratolysis-exfoliativa-31.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-eczema-fingertips-95.jpg,t-eczema-fingertips-95.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001220_t-lichen-simplex-chronicus-194.jpg,aug_001220_t-lichen-simplex-chronicus-194.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000568_t-eczema-hand-92.jpg,aug_000568_t-eczema-hand-92.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001789_v-prurigo-nodularis-9.jpg,aug_001789_v-prurigo-nodularis-9.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-eczema-leg-15.jpg,t-eczema-leg-15.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002184_1_25.jpg,aug_002184_1_25.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000806_t-eczema-nummular-144.jpg,aug_000806_t-eczema-nummular-144.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000503_t-eczema-foot-90.jpg,aug_000503_t-eczema-foot-90.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-eczema-hand-106.jpg,t-eczema-hand-106.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001723_t-prurigo-nodularis-27.jpg,aug_001723_t-prurigo-nodularis-27.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000028_t-eczema-fingertips-38.jpg,aug_000028_t-eczema-fingertips-38.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002757_t-eczema-nummular-173.jpg,aug_002757_t-eczema-nummular-173.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001541_t-notalgia-paraesthetica-5.jpg,aug_001541_t-notalgia-paraesthetica-5.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000365_t-eczema-chronic-6.jpg,aug_000365_t-eczema-chronic-6.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\v-eczema-areola-21.jpg,v-eczema-areola-21.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002496_t-eczema-acute-8.jpg,aug_002496_t-eczema-acute-8.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001067_v-eczema-chronic-35.jpg,aug_001067_v-eczema-chronic-35.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001054_t-eczema-fingertips-123.jpg,aug_001054_t-eczema-fingertips-123.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\v-eczema-subacute-84.jpg,v-eczema-subacute-84.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-stasis-dermatitis-19.jpg,t-stasis-dermatitis-19.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-03AnalExcoriation0512041.jpg,t-03AnalExcoriation0512041.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-pompholyx-4.jpg,t-pompholyx-4.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001632_t-neurotic-excoriations-39.jpg,aug_001632_t-neurotic-excoriations-39.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-eczema-fingertips-2.jpg,t-eczema-fingertips-2.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-lichen-simplex-chronicus-8.jpg,t-lichen-simplex-chronicus-8.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\0_25.jpg,0_25.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002022_t-eczema-subacute-8.jpg,aug_002022_t-eczema-subacute-8.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002494_t-04acidBurn891-GP3.jpg,aug_002494_t-04acidBurn891-GP3.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002454_t-eczema-fingertips-86.jpg,aug_002454_t-eczema-fingertips-86.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-stasis-dermatitis-16.jpg,t-stasis-dermatitis-16.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001613_t-lichen-simplex-chronicus-133.jpg,aug_001613_t-lichen-simplex-chronicus-133.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001326_v-chapped-fissured-feet-27.jpg,aug_001326_v-chapped-fissured-feet-27.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-eczema-subacute-22.jpg,t-eczema-subacute-22.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-lichen-simplex-chronicus-136.jpg,t-lichen-simplex-chronicus-136.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\v-eczema-asteatotic-53.jpg,v-eczema-asteatotic-53.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-eczema-chronic-41.jpg,t-eczema-chronic-41.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001072_t-neurotic-excoriations-50.jpg,aug_001072_t-neurotic-excoriations-50.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001490_t-stasis-dermatitis-149.jpg,aug_001490_t-stasis-dermatitis-149.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000111_t-eczema-hand-11.jpg,aug_000111_t-eczema-hand-11.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002309_t-lichen-simplex-chronicus-152.jpg,aug_002309_t-lichen-simplex-chronicus-152.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\v-eczema-leg-14.jpg,v-eczema-leg-14.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002994_v-milroy-disease-6.jpg,aug_002994_v-milroy-disease-6.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001476_t-eczema-fingertips-4.jpg,aug_001476_t-eczema-fingertips-4.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002778_t-stasis-dermatitis-165.jpg,aug_002778_t-stasis-dermatitis-165.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001979_t-eczema-nummular-155.jpg,aug_001979_t-eczema-nummular-155.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\v-eczema-chronic-29.jpg,v-eczema-chronic-29.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000697_t-eczema-subacute-9.jpg,aug_000697_t-eczema-subacute-9.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001116_t-eczema-areola-11.jpg,aug_001116_t-eczema-areola-11.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000730_t-eczema-subacute-87.jpg,aug_000730_t-eczema-subacute-87.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002702_t-eczema-subacute-28.jpg,aug_002702_t-eczema-subacute-28.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000666_v-lichen-simplex-chronicus-19.jpg,aug_000666_v-lichen-simplex-chronicus-19.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000964_1_16.jpg,aug_000964_1_16.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002378_v-maceration-2.jpg,aug_002378_v-maceration-2.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002674_2_4.jpg,aug_002674_2_4.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000995_t-eczema-nummular-9.jpg,aug_000995_t-eczema-nummular-9.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001872_t-eczema-subacute-80.jpg,aug_001872_t-eczema-subacute-80.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001948_t-Dyshidrosis-33.jpg,aug_001948_t-Dyshidrosis-33.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001007_t-keratolysis-exfoliativa-52.jpg,aug_001007_t-keratolysis-exfoliativa-52.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-eczema-hand-183.jpg,t-eczema-hand-183.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002847_t-chapped-fissured-feet-24.jpg,aug_002847_t-chapped-fissured-feet-24.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-eczema-fingertips-116.jpg,t-eczema-fingertips-116.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000204_v-neurotic-excoriations-28.jpg,aug_000204_v-neurotic-excoriations-28.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002011_t-prurigo-nodularis-3.jpg,aug_002011_t-prurigo-nodularis-3.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000424_t-eczema-areola-11.jpg,aug_000424_t-eczema-areola-11.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-eczema-subacute-49.jpg,t-eczema-subacute-49.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-chapped-fissured-feet-14.jpg,t-chapped-fissured-feet-14.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\v-eczema-subacute-85.jpg,v-eczema-subacute-85.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-prurigo-nodularis-23.jpg,t-prurigo-nodularis-23.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000167_t-eczema-hand-151.jpg,aug_000167_t-eczema-hand-151.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002106_t-eczema-subacute-93.jpg,aug_002106_t-eczema-subacute-93.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002348_t-eczema-foot-85.jpg,aug_002348_t-eczema-foot-85.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002729_t-eczema-subacute-60.jpg,aug_002729_t-eczema-subacute-60.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001020_t-lichen-simplex-chronicus-130.jpg,aug_001020_t-lichen-simplex-chronicus-130.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002867_t-eczema-fingertips-111.jpg,aug_002867_t-eczema-fingertips-111.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002773_t-eczema-nummular-138.jpg,aug_002773_t-eczema-nummular-138.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001325_t-desquamation-2.jpg,aug_001325_t-desquamation-2.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-eczema-nummular-116.jpg,t-eczema-nummular-116.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-eczema-foot-48.jpg,t-eczema-foot-48.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-desquamation-7.jpg,t-desquamation-7.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001531_t-eczema-chronic-37.jpg,aug_001531_t-eczema-chronic-37.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\3_10.jpg,3_10.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_002038_t-eczema-asteatotic-28.jpg,aug_002038_t-eczema-asteatotic-28.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\t-eczema-foot-21.jpg,t-eczema-foot-21.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_001222_t-keratolysis-exfoliativa-45.jpg,aug_001222_t-keratolysis-exfoliativa-45.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000745_t-eczema-hand-86.jpg,aug_000745_t-eczema-hand-86.jpg
train,1. Eczema 1677,D:\aadhavan\AI-Based Skin Disease Detection and Preliminary Diagnosis System\dataset_augmented\1. Eczema 1677\aug_000787_t-eczema-nummular-176.jpg,aug_000787_t-eczema-nummular-176.jpg
